agent_seconds,agent_setup_seconds,agent_steps,apply_patch_calls,assistant_text_turns,cache_token_ratio,cached_input_tokens,config,environment_setup_seconds,feature_passed,feature_total,input_tokens,model_calls,model_calls_with_cache,official_sol_credits,output_tokens,partial,patch_added_lines,patch_bytes,patch_deleted_lines,patch_sha256,peak_context_tokens,pier_litellm_cost_usd,reasoning_output_tokens,regression_passed,regression_total,resolved,reward,reward_sha256,rtk_commands,rtk_db_bytes,rtk_db_present,rtk_db_sha256,rtk_exec_time_ms,rtk_input_tokens,rtk_output_tokens,rtk_saved_tokens,rtk_weighted_savings_ratio,shell_calls,summarization_count,system_steps,task,task_checksum,tool_calls,total_provider_tokens,trajectory_sha256,trajectory_steps,trial_name,uncached_input_tokens,user_turns,verifier_seconds,wall_seconds
1168.926778,1.388263,95,9,10,0.9796050511913953,8762624,codex,112.149677,14,14,8945058,95,95,153.4068,28093,1.0,878,35652,39,540ed1ee9f9415b6025ebfa879dd19b7d128051dafc780db3de56b63c1cfccc0,135775,6.136271999999999,11346,9,9,1,1.0,2dde3f33b5cf035870d9332e53d0b385b4c62bb5bf5c6fad8ec3273409f66d38,,,False,,,,,,,24,0,3,happy-dom-deterministic-intersectionobserver,68a9e582044b58bbfc8ba5dd9a6303798726a3187d72e976533ca26d9a10864e,94,8973151,eb297d82afb62941c1afda1a2701b4b00fe9f964389e9c1edcfa3746aeba2b9a,100,happy-dom-deterministic-intersec__uW4P7ZS,182434,2,64.330557,1375.966259
958.659329,1.61937,102,4,7,0.9788686937793335,7720448,codexzero,114.713009,11,14,7887113,102,102,133.505725,21556,0.8695652173913043,701,26323,35,ef04ac3f1807726d33a6ae75f52f00039f5222e06d020c13e6bbff5fa5e800b8,109835,5.340229,8451,9,9,0,0.0,40facd6a02f2b9e26763da228d3015fa5b120e070028756b8097410fc7112414,,,False,,,,,,,19,0,3,happy-dom-deterministic-intersectionobserver,68a9e582044b58bbfc8ba5dd9a6303798726a3187d72e976533ca26d9a10864e,101,7908669,cabfca0290a3e96796b840f41f0d8635a376f2078ec9e42d75bf34e9e6304651,107,happy-dom-deterministic-intersec__qFnW9Tk,166665,2,75.357582,1179.674444
1566.411854,1.359118,64,8,14,0.9686185283167795,4881664,codex_rtk,116.309922,14,14,5039821,64,63,100.575425,26380,1.0,694,29702,35,d06971d974f61aa440c31102ffc6ebe8271027bddb35597e5f1a62cda3fbe9d8,118955,4.023017,11727,9,9,1,1.0,2dde3f33b5cf035870d9332e53d0b385b4c62bb5bf5c6fad8ec3273409f66d38,32,36864,True,76fd3d0ee4be130dea1019254e4e11f5bae032e7a352142f25a3d3489f29d2a1,1145527,138716,101389,37340,0.2691830790968598,25,0,3,happy-dom-deterministic-intersectionobserver,68a9e582044b58bbfc8ba5dd9a6303798726a3187d72e976533ca26d9a10864e,63,5066201,d995d58b5261e194f8ce766417c660e1653f9044acd1412cadd04462441641f0,69,happy-dom-deterministic-intersec__utKrFAJ,158157,2,50.095117,1758.595423
967.475667,2.268027,48,4,11,0.9466569977630508,3574272,codex_caveman,116.962652,14,14,3775678,48,46,86.09165,21650,1.0,620,24384,36,10076edddcf108c3de63154c6c1a1f9395ac8f4897515c0f58d2b0a0d5b9f09b,117212,3.4436659999999994,9690,9,9,1,1.0,2dde3f33b5cf035870d9332e53d0b385b4c62bb5bf5c6fad8ec3273409f66d38,,,False,,,,,,,6,0,3,happy-dom-deterministic-intersectionobserver,68a9e582044b58bbfc8ba5dd9a6303798726a3187d72e976533ca26d9a10864e,47,3797328,aa577e5c5980cf5a7f13fbfae04ce6a0534a6f3a45c11851eaebd0a81ed33d0e,53,happy-dom-deterministic-intersec__zrvRVt7,201406,2,73.052882,1189.815804
1544.917374,1.976648,73,10,23,0.9721589963291017,6657792,codex_caveman_rtk,119.969346,13,14,6848460,73,73,130.95465,31865,0.9565217391304348,690,32533,35,b4a270cfb858502ca0b40337d745d64d1dbc401124691fa1d26746b7ce13aad6,149386,5.238186000000001,12961,9,9,0,0.0,a6e324c56ad1caea7fd48e5a19cfd345f9314dad89066103c488983b3d328d2b,37,36864,True,2647489a362e8c6735d5f88f9671223bace8ab4fa2144a4a5c4f8adcb4694798,851150,117057,74127,42943,0.3668554635775733,34,0,3,happy-dom-deterministic-intersectionobserver,68a9e582044b58bbfc8ba5dd9a6303798726a3187d72e976533ca26d9a10864e,72,6880325,61ec2f9c812e81bf696b63d31fb06bfe1b49aef7590d8c894dd26f09bb918fdb,78,happy-dom-deterministic-intersec__aziafU9,190668,2,53.047689,1746.914829
1635.242546,1.614042,81,23,9,0.9754329884550443,8805376,codex,207.520036,39,43,9027146,81,80,176.44945,51548,0.9813953488372092,1630,116621,364,1f1d579830cef7fb7539d09fe7f2f2ae64911b9b7c3ba737dab09ab6fa221f3c,177881,7.057978,27185,172,172,0,0.0,9a95734f69f6f87869670c9648d71413c8f9662f20bdd8a0108f44d5aa9044ac,,,False,,,,,,,50,0,3,koota-query-predicates,4e4d82c6169243e8ac4315c5299536a8668210baec1b6a1835914f83151e092f,80,9078694,ac7f5d604fbaa36a60e9a02c1b9791257065930422268fe46602bbf6bb9c462f,86,koota-query-predicates__ihg9N7D,221770,2,53.776896,1925.666546
1051.865375,1.57978,71,28,6,0.9736948005162236,6569216,codexzero,196.297804,41,43,6746689,71,71,130.582325,35044,0.9906976744186047,979,75352,251,fe8c296c3d57cd02724338373874d138e3a58a23a9d2ff8a8c0a4f6a390b8b32,142356,5.223293,14093,172,172,0,0.0,27e96b43d37dbdd5ff7c56cf1d43770166ed43ab14d2dfc2607bf8df307a9c7f,,,False,,,,,,,23,0,3,koota-query-predicates,4e4d82c6169243e8ac4315c5299536a8668210baec1b6a1835914f83151e092f,70,6781733,668665df27bb7be153a6a037c765b7e1163ecfbb49ec70cdbbd030d7e40c0b88,76,koota-query-predicates__5FC9vY3,177473,2,62.822584,1340.87259
1005.972123,1.606403,55,17,8,0.957594214592796,5297664,codex_rtk,197.878967,41,43,5532264,55,54,122.3763,35774,0.9906976744186047,1015,82004,329,507ab72493cf80ed5663dba18ebaf3f9203df252beef1900c819fc04cb720f61,149834,4.895052,16791,172,172,0,0.0,27e96b43d37dbdd5ff7c56cf1d43770166ed43ab14d2dfc2607bf8df307a9c7f,39,36864,True,d9894089dc0ba743d422eda809602f8bb5a12eb200d55de7806b7d406c9a489a,102087,14057,9549,4522,0.321690261079889,30,0,3,koota-query-predicates,4e4d82c6169243e8ac4315c5299536a8668210baec1b6a1835914f83151e092f,54,5568038,804ca279192065206bc3e5b814015957891c5c83b1ffa5ebcd18b14edea600fb,60,koota-query-predicates__4cM6dqC,234600,2,69.119079,1299.842555
1132.299486,1.756878,69,23,12,0.9732334796371435,7412480,codex_caveman,201.920871,41,43,7616343,69,69,145.378875,36320,0.9906976744186047,1038,84304,228,b80afeb48e8ab49dc6ff40fdda78ea9d1a9a219503e2c0d221b31dd5a4fb24a2,166683,5.815155,17038,172,172,0,0.0,27e96b43d37dbdd5ff7c56cf1d43770166ed43ab14d2dfc2607bf8df307a9c7f,,,False,,,,,,,20,0,3,koota-query-predicates,4e4d82c6169243e8ac4315c5299536a8668210baec1b6a1835914f83151e092f,68,7652663,12c6d7163067005dbf3662682e8c36374e7811386edef048c99e3b68d61fe864,74,koota-query-predicates__ozx4zAo,203863,2,57.896475,1420.12733
1387.271901,1.494178,79,0,27,0.9773124801566676,10398208,codex_caveman_rtk,206.133363,43,43,10639594,79,79,193.1606,44013,1.0,927,65618,134,0568016a16013d2fb4d101003010af3390e78810c4c0d0cee5984b608425650b,205523,7.726424,22403,172,172,1,1.0,d731e5cbda515ca04619b2d8b35684dc5a328397c2b07add73274e3d0054618a,54,36864,True,7ce3236d9b027b452a3ada2aafe1f34f1dfdadaac68dbb8c31afc7739470b92a,358585,16896,16161,748,0.044270833333333336,0,0,3,koota-query-predicates,4e4d82c6169243e8ac4315c5299536a8668210baec1b6a1835914f83151e092f,77,10683607,9c80a24567926b308f831898483ddde07ead3dbdad969a50a7e319796afb0f35,84,koota-query-predicates__DQfSSDx,241386,2,56.027055,1676.698106
525.08726,1.662989,38,6,9,0.9590839381334346,2747904,codex,109.812781,65,65,2865134,38,38,65.1313,21505,1.0,646,34925,70,579cfb00ac6387dcf7de89f1afd92a02b6a5bc1baec4e0c4dc13a56a1b20fe70,111260,2.605252,8577,469,469,1,1.0,cf9ae6020f483a6648d792d512e0c5ae48cd675d83b21e7d593b6df45367d672,,,False,,,,,,,8,0,3,testem-per-launcher-reports,11eaa4d8d9fa1e4e15855582c144b6b968b5c6a9ba98bd90db3f123c1eb4d00e,37,2886639,6b83e0a8e27ae465b2804474e7470d75da197a20e12d20a27deba07f9c0912fd,43,testem-per-launcher-reports__xEeL4i5,117230,2,41.314741,700.501057
698.753311,1.798581,55,14,7,0.9638694712419736,3504640,codexzero,112.635624,65,65,3636011,55,54,77.744875,23354,1.0,564,30478,68,15f2d5c2e8ec7e20ab5bae79a5fdd04c031c82de13307117ae988c081437eaac,98719,3.109795,6693,469,469,1,1.0,cf9ae6020f483a6648d792d512e0c5ae48cd675d83b21e7d593b6df45367d672,,,False,,,,,,,30,0,3,testem-per-launcher-reports,11eaa4d8d9fa1e4e15855582c144b6b968b5c6a9ba98bd90db3f123c1eb4d00e,54,3659365,aea95dc33bb1711f61611128bea129e67aa16efe9ba847576669bcfcc600dd75,60,testem-per-launcher-reports__oVTrP7i,131371,2,41.724475,876.431286
560.293362,1.788788,48,8,9,0.9639110815198237,3208192,codex_rtk,114.262931,65,65,3328307,48,48,69.550525,19245,1.0,547,31788,52,d1d53acb715b3c22e72c56e6a84b00df92cdb4cca33d8048eb62ab1687bd400c,103728,2.7820210000000003,8631,469,469,1,1.0,cf9ae6020f483a6648d792d512e0c5ae48cd675d83b21e7d593b6df45367d672,35,32768,True,edbb2125134ce1a41f013f10689125df4c673fa2ef2cebc08d56357993091680,136424,29942,29579,377,0.012591009284616926,21,0,3,testem-per-launcher-reports,11eaa4d8d9fa1e4e15855582c144b6b968b5c6a9ba98bd90db3f123c1eb4d00e,47,3347552,2a6c3f1460c906996ce6d2520b1383f87e4d8537d7ac87c3d1cb44566c197d23,53,testem-per-launcher-reports__QqUWMsG,120115,2,41.461766,740.203159
758.19945,1.751512,60,12,11,0.9681060167388863,4254976,codex_caveman,116.59429,65,65,4395155,60,59,91.643575,27912,1.0,616,32637,70,82989ed5203029e6cfb055259a9ac49e1ca8b6d1990d6748c698bc43073bdad3,104300,3.665743,11486,469,469,1,1.0,cf9ae6020f483a6648d792d512e0c5ae48cd675d83b21e7d593b6df45367d672,,,False,,,,,,,0,0,3,testem-per-launcher-reports,11eaa4d8d9fa1e4e15855582c144b6b968b5c6a9ba98bd90db3f123c1eb4d00e,59,4423067,e87fdd99b8e1b28904eed52e25ac89d6b4893d0a5348eb5b2dd9ab8362b1a9dd,65,testem-per-launcher-reports__edBC5fu,140179,2,39.040165,939.408542
706.352518,1.635696,62,11,9,0.9700333799239621,4353536,codex_caveman_rtk,107.805486,65,65,4488027,62,62,87.089325,21145,1.0,534,29550,65,57a7f6d1104a734cddc34efcabb786edae23664556bae18a691fba42dc9d738b,109864,3.4835730000000003,8138,469,469,1,1.0,cf9ae6020f483a6648d792d512e0c5ae48cd675d83b21e7d593b6df45367d672,36,32768,True,e097ab1653c83f9b3cfd2a7aa6c437537f8e73c814d7e3143e9366168e3cf545,231870,24646,23953,706,0.028645622007628012,0,0,3,testem-per-launcher-reports,11eaa4d8d9fa1e4e15855582c144b6b968b5c6a9ba98bd90db3f123c1eb4d00e,61,4509172,3625985114eca659b8f3a464464794070ca841719b390d0ed4d57431bf48d017,67,testem-per-launcher-reports__KxDYjVX,134491,2,40.140444,877.492692
